Date,Confirmed,Recovered,Death,Active
3/1/2022,464,364,0,3282
4/1/2022,842,274,0,3850
5/1/2022,805,423,2,4230
6/1/2022,1287,422,1,5094
7/1/2022,1251,2,2,6343
8/1/2022,1285,674,0,6954
9/1/2022,1319,481,1,7791
10/1/2022,1224,480,0,8535
11/1/2022,1290,499,0,9326
12/1/2022,1356,743,1,9938
13/1/2022,1434,743,0,10629
14/1/2022,1419,939,1,11109
15/1/2022,1430,713,2,11826
16/1/2022,1337,761,0,12402
17/1/2022,1639,762,0,13279
18/1/2022,1922,772,0,14429
19/1/2022,2089,687,1,15831
20/1/2022,1945,4484,1,13291
21/1/2022,3155,4484,0,11962
22/1/2022,2463,2121,1,12304
23/1/2022,3496,2324,1,13476
24/1/2022,3002,3042,0,13436
25/1/2022,5996,3042,2,16388
26/1/2022,4832,2948,2,18272
27/1/2022,5469,4173,1,19567
28/1/2022,5338,4173,3,20729
29/1/2022,5207,4798,1,21137
30/1/2022,4498,5155,0,20480
31/1/2022,4481,5529,1,19431
1/2/2022,6264,5218,3,20474
2/2/2022,3101,4874,1,18700
3/2/2022,4297,4614,1,18382
4/2/2022,13208,4190,6,27394
5/2/2022,10390,4190,2,33592
6/2/2022,7752,4732,3,36609
7/2/2022,7806,12041,3,32371
8/2/2022,13011,8892,3,36487
9/2/2022,10314,8052,4,38745
10/2/2022,10686,8371,1,41059
11/2/2022,9930,12732,3,38254
12/2/2022,10505,9521,8,39230
13/2/2022,9420,10133,4,38513
14/2/2022,9082,10298,9,37288
15/2/2022,19420,10432,7,46269
16/2/2022,16883,9453,13,53686
17/2/2022,18545,9425,4,62802
18/2/2022,18094,19606,7,61283
19/2/2022,24836,15217,4,70898
20/2/2022,6283,17073,4,60104
21/2/2022,13623,18698,7,55022
22/2/2022,26032,17163,4,63887
23/2/2022,20312,15298,7,68894
24/2/2022,18593,13985,12,73490
25/2/2022,18597,25277,11,66799
26/2/2022,16857,19308,13,64335
27/2/2022,14228,19041,8,59514
28/2/2022,13544,18884,12,54162
1/3/2022,24080,17205,11,61026
2/3/2022,19159,14722,10,65453
3/3/2022,18162,14249,9,69357
4/3/2022,17564,23545,18,63358
5/3/2022,16274,18777,6,60849
6/3/2022,13158,18172,5,55830
7/3/2022,13520,18174,6,51170
8/3/2022,22201,16667,15,56689
9/3/2022,17051,13707,11,60022
10/3/2022,16165,13375,6,62806
11/3/2022,15345,21481,13,56657
12/3/2022,12632,16614,10,52665
13/3/2022,9701,16291,6,46069
14/3/2022,9042,16069,8,39034
15/3/2022,15851,12945,6,41934
16/3/2022,11278,10871,11,42330
17/3/2022,10713,9994,12,43037
18/3/2022,10594,15684,9,37938
19/3/2022,10244,11536,3,36643
20/3/2022,7859,11284,4,33214
21/3/2022,7538,10706,10,30036
22/3/2022,13166,9716,6,33480
23/3/2022,8940,8381,6,34033
24/3/2022,8478,0,6,42505
25/3/2022,7584,0,13,50076
26/3/2022,6434,0,7,56503
27/3/2022,4848,7391,4,53956
28/3/2022,4925,8779,4,50098
29/3/2022,8164,0,4,58258
30/3/2022,5729,5,0,63982
31/3/2022,5605,0,5,69582
1/4/2022,5010,0,2,74590
2/4/2022,4563,5744,0,73409
3/4/2022,3743,5616,0,71536
4/4/2022,3334,5612,7,69251
5/4/2022,6341,5155,0,70437
6/4/2022,4467,4644,0,70260
7/4/2022,4269,3918,3,70608
8/4/2022,4014,9856,0,64766
9/4/2022,3259,4439,0,63586
10/4/2022,2573,0,2,66157
11/4/2022,2568,4341,0,64384
12/4/2022,4552,4188,0,64748
13/4/2022,3535,3329,2,64952
14/4/2022,3521,2885,0,65588
15/4/2022,3404,2725,0,66267
16/4/2022,1670,4488,0,63449
17/4/2022,3049,3458,3,63037
18/4/2022,2480,3546,0,61971
19/4/2022,4718,3396,0,63293
20/4/2022,3472,1842,2,64921
21/4/2022,3420,3127,0,65214
